DATE,DGS10_NBD19800101
1980-01-01,100.00000
1980-02-01,114.28571
1980-03-01,113.56694
1980-04-01,96.67565
1980-05-01,92.09344
1980-06-01,90.65588
1980-07-01,96.67565
1980-08-01,103.77358
1980-09-01,106.55885
1980-10-01,111.94969
1980-11-01,114.28571
1980-12-01,111.68014
1981-01-01,113.92633
1981-02-01,120.66487
1981-03-01,117.96945
1981-04-01,126.77448
1981-05-01,121.29380
1981-06-01,124.52830
1981-07-01,131.80593
1981-08-01,138.45463
1981-09-01,142.31806
1981-10-01,131.44654
1981-11-01,117.96945
1981-12-01,125.60647
1982-01-01,127.04403
1982-02-01,126.05571
1982-03-01,127.40341
1982-04-01,124.61815
1982-05-01,123.18059
1982-06-01,129.73944
1982-07-01,122.91105
1982-08-01,115.09434
1982-09-01,105.39084
1982-10-01,96.22642
1982-11-01,96.94519
1982-12-01,93.08176
1983-01-01,97.03504
1983-02-01,92.27314
1983-03-01,95.41779
1983-04-01,92.27314
1983-05-01,97.12489
1983-06-01,98.47260
1983-07-01,105.66038
1983-08-01,107.63702
1983-09-01,102.78527
1983-10-01,105.48068
1983-11-01,104.49236
1983-12-01,106.19946
1984-01-01,104.85175
1984-02-01,108.17610
1984-03-01,112.57862
1984-04-01,115.18419
1984-05-01,124.97754
1984-06-01,124.34861
1984-07-01,115.99281
1984-08-01,114.91465
1984-09-01,112.03953
1984-10-01,105.92992
1984-11-01,104.04313
1984-12-01,103.77358
1985-01-01,100.35939
1985-02-01,107.00809
1985-03-01,104.67206
1985-04-01,102.51572
1985-05-01,92.36298
1985-06-01,92.09344
1985-07-01,94.96855
1985-08-01,92.36298
1985-09-01,92.63252
1985-10-01,89.93711
1985-11-01,86.16352
1985-12-01,80.86253
1986-01-01,81.58131
1986-02-01,73.04582
1986-03-01,66.39712
1986-04-01,66.30728
1986-05-01,72.32704
1986-06-01,66.03774
1986-07-01,65.94789
1986-08-01,62.44385
1986-09-01,66.93621
1986-10-01,65.94789
1986-11-01,64.24079
1986-12-01,64.95957
1987-01-01,64.51033
1987-02-01,64.60018
1987-03-01,67.47529
1987-04-01,73.76460
1987-05-01,76.28032
1987-06-01,75.29200
1987-07-01,77.80773
1987-08-01,80.86253
1987-09-01,86.52291
1987-10-01,79.78437
1987-11-01,80.77269
1987-12-01,79.33513
1988-01-01,74.21384
1988-02-01,73.31536
1988-03-01,76.99910
1988-04-01,79.69452
1988-05-01,82.65948
1988-06-01,79.24528
1988-07-01,81.94070
1988-08-01,83.10872
1988-09-01,79.69452
1988-10-01,77.71788
1988-11-01,81.40162
1988-12-01,82.12040
1989-01-01,80.95238
1989-02-01,83.73765
1989-03-01,83.55795
1989-04-01,81.04223
1989-05-01,77.26864
1989-06-01,72.77628
1989-07-01,70.26056
1989-08-01,74.21384
1989-09-01,74.66307
1989-10-01,71.15903
1989-11-01,70.44025
1989-12-01,71.24888
1990-01-01,75.74124
1990-02-01,76.46002
1990-03-01,77.71788
1990-04-01,81.22192
1990-05-01,77.26864
1990-06-01,75.74124
1990-07-01,75.11231
1990-08-01,79.60467
1990-09-01,79.24528
1990-10-01,77.71788
1990-11-01,74.21384
1990-12-01,72.59659
1991-01-01,72.14735
1991-02-01,72.05750
1991-03-01,72.32704
1991-04-01,72.05750
1991-05-01,72.41689
1991-06-01,74.03414
1991-07-01,73.67475
1991-08-01,70.26056
1991-09-01,67.11590
1991-10-01,67.11590
1991-11-01,66.30728
1991-12-01,60.28751
1992-01-01,65.67835
1992-02-01,65.31896
1992-03-01,67.74483
1992-04-01,68.37376
1992-05-01,65.85804
1992-06-01,64.15094
1992-07-01,60.37736
1992-08-01,59.47889
1992-09-01,57.23270
1992-10-01,61.09614
1992-11-01,62.44385
1992-12-01,60.19766
1993-01-01,57.41240
1993-02-01,54.17790
1993-03-01,54.17790
1993-04-01,54.35759
1993-05-01,55.34591
1993-06-01,52.11141
1993-07-01,52.38095
1993-08-01,48.96676
1993-09-01,48.51752
1993-10-01,48.78706
1993-11-01,52.38095
1993-12-01,52.38095
1994-01-01,51.21294
1994-02-01,55.25606
1994-03-01,60.82659
1994-04-01,63.43217
1994-05-01,64.42049
1994-06-01,65.94789
1994-07-01,63.97125
1994-08-01,64.60018
1994-09-01,68.46361
1994-10-01,70.17071
1994-11-01,71.06918
1994-12-01,70.44025
1995-01-01,68.28392
1995-02-01,64.86972
1995-03-01,64.69003
1995-04-01,63.52201
1995-05-01,56.60377
1995-06-01,55.79515
1995-07-01,57.95148
1995-08-01,56.42408
1995-09-01,55.43576
1995-10-01,54.17790
1995-11-01,51.75202
1995-12-01,50.13477
1996-01-01,50.31447
1996-02-01,55.07637
1996-03-01,56.96316
1996-04-01,59.83827
1996-05-01,61.54537
1996-06-01,60.46721
1996-07-01,61.09614
1996-08-01,62.53369
1996-09-01,60.37736
1996-10-01,57.23270
1996-11-01,54.44744
1996-12-01,57.77179
1997-01-01,58.67026
1997-02-01,58.93980
1997-03-01,62.17430
1997-04-01,60.37736
1997-05-01,59.92812
1997-06-01,58.49057
1997-07-01,54.08805
1997-08-01,56.96316
1997-09-01,54.98652
1997-10-01,52.47080
1997-11-01,52.65049
1997-12-01,51.66217
1998-01-01,49.68553
1998-02-01,50.49416
1998-03-01,50.94340
1998-04-01,51.03324
1998-05-01,49.95508
1998-06-01,48.87691
1998-07-01,49.41599
1998-08-01,45.37287
1998-09-01,39.89218
1998-10-01,41.68913
1998-11-01,42.58760
1998-12-01,41.77898
1999-01-01,41.86882
1999-02-01,47.52920
1999-03-01,47.16981
1999-04-01,48.15813
1999-05-01,50.67385
1999-06-01,52.20126
1999-07-01,53.18958
1999-08-01,53.72866
1999-09-01,53.00988
1999-10-01,54.08805
1999-11-01,55.52561
1999-12-01,57.95148
2000-01-01,60.01797
